카테고리목록,언급횟수
모니터/프린터>잉크/토너,29484
주방용품>주방잡화,10814
가전/디지털>컴퓨터/게임/SW,10115
가전·컴퓨터>프린터·복합기·잉크,9942
디지털/가전>주변기기,9843
모니터/프린터/잉크>잉크/토너,9828
모니터/프린터/잉크>정품토너,9827
모니터/프린터>정품토너,9827
프린터/복합기>토너,9827
모바일/태블릿>휴대폰일반용품,5548
조명/인테리어>인테리어소품,5300
생활·주방>생활잡화·공구,4439
생활/건강>공구,4418
문구/사무용품>팬시용품,4398
생활/건강>주방용품,4360
자동차용품>익스테리어용품,3937
도서·교육·취미>문구·사무용품,3863
자동차용품>카익스테리어용품,3838
장난감/완구>미술/공작놀이,3728
브랜드 남성의류>티셔츠,3708
남성의류>티셔츠,3708
가구/홈데코>인테리어용품,3096
공구/안전/산업용품>수공구,3082
가구/인테리어>인테리어소품,3064
가방/잡화>양말/스타킹,3036
문구/사무용품>문구용품,3017
가전/디지털>휴대폰/태블릿PC/액세서리,3013
디지털>휴대폰액세서리,3007
디지털/가전>휴대폰액세서리,3006
가구·홈·데코>인테리어소품,2993
디지털/휴대폰/카메라>휴대폰 액세서리,2985
패션잡화>양말,2978
공구/설비자재>공구,2814
문구/오피스>사무용품,2768
침구/커튼/장식소품>인테리어소품,2719
휴대폰>휴대폰케이스,2714
조명/인테리어>인테리어 소품,2713
스마트폰/액세서리/웨어러블>스마트폰/태블릿케이스,2710
휴대폰/스마트폰>휴대폰케이스,2708
휴대폰 액세서리>케이스,2708
공구/안전/산업용품>전동공구,2671
인테리어소품>기타 인테리어소품,2639
홈인테리어/조명>리빙/수납 소품,2543
생활용품>공구,2536
남성의류>긴팔티셔츠,2529
조명/인테리어>벽장식,2521
생활용품>수납/정리용품,2518
출산·유아동>완구·교구·도서,2440
패션의류잡화>여성패션,2428
생활/건강>자동차용품,2340
문구/팬시용품>학습준비물,2292
출산/육아>완구/매트,2206
주방/수입주방>주방잡화,2205
생활·주방>주방용품,2198
문방구/사무/종이>전용지/라벨지/견출지,2105
디자인/문구/사무용품>스티커/라벨,2100
자동차용품>내부용품,2081
장난감>미술놀이,1999
주방용품>보관/밀폐용기,1985
자동차>타이어·실외용품,1940
자동차용품>실외용품,1934
블랙박스/내비/자동차용품>익스테리어용품,1922
완구>교육,1907
자동차용품/스쿠터>카액세서리,1895
주방용품/수입주방>주방선반/주방잡화,1887
장난감/교육완구/인형>미술/공작완구,1869
장난감/교육완구/인형>미술/공작,1864
주방잡화>주방잡화/교체용품,1818
도서>국내도서,1785
패션의류잡화>남성패션,1745
브랜드 잡화>패션잡화,1690
미술/화방용품>어린이 미술용품,1665
패션잡화>시즌잡화·소품,1631
생활/건강>문구/사무용품,1587
패션잡화>스타킹/레깅스/양말,1509
가방/패션잡화>레깅스/스타킹/양말,1488
가방/패션잡화>양말/스타킹,1468
주방용품>조리도구,1460
문구/오피스>문구/학용품,1454
패션의류>남성의류,1400
생활용품>욕실용품,1308
공구/안전/산업용품>절삭공구,1301
생활/건강>반려동물,1270
가구/홈데코>가구,1193
공구/철물/산업/안전>수작업공구,1177
공구>작업/수공구,1159
디자인/문구/사무용품>책상정리용품,1146
공구/안전/산업용품>안전보호구,1131
가구/인테리어>수납가구,1071
공구/안전/산업용품>철물용품,1035
생활·주방>쿡웨어,1027
공구/설비자재>전기/산업자재,1000
문구/사무>문구/사무,988
반려동물용품>강아지용품,984
조명/인테리어>페인트,972
공구>전동공구,966
문구/사무용품>책상정리용품,966
공구/포장재/안전용품>전동공구,962
가구·홈·데코>시공·DIY·정원가구,946
생활용품>청소용품,915
문방구/사무/종이>문구용품,913
생활·주방>수납·정리용품,905
가구/DIY>DIY자재/용품,904
공구/포장재/안전용품>작업공구,893
가구/인테리어>DIY자재/용품,882
패션잡화>여성가방,875
DIY자재/용품>자재,860
생활용품>선반/행거/진열대,856
공구/철물/산업/안전>절단공구/산업기기,775
가공식품>빵/케이크,774
주방용품>냄비/솥,756
문구/사무용품>오피스용품,732
브랜드패션>가방·지갑·벨트,704
공구/철물/산업/안전>전동공구,692
가구/DIY/시공>침실가구,692
거실/주방/수납가구>수납가구,689
반려동물용품>외출용품,687
문구/사무용품>필기용품,676
수납가구>기타 수납소품,676
침구/커튼/장식소품>수납소품,671
가방/잡화>가방,660
패션의류잡화>유니섹스/남녀공용 패션,657
주방용품>업소용 주방용품,645
공구/철물/산업/안전>철물/전기/자재,640
생활용품>철물,633
문구/사무용품>노트/수첩/메모지,604
생활·주방>세탁·욕실용품,603
가방/패션잡화>여성가방,602
생활용품>접착용품,602
가방/잡화>여성가방,592
반려동물용품>강아지간식,580
조명/인테리어>조명기구,579
주방용품>수저/컵/식기,560
식품>가공식품,555
공구/안전/산업용품>보수용품,541
생활·주방>테이블웨어,532
